"Year","State","Avg.Unhealthy.Days","Avg.Max.AQI","Avg.Days.PM2.5"
2010,"Alabama",0.315789473684211,112.263157894737,142.263157894737
2010,"Alaska",1,88.5,191
2010,"Arizona",0.153846153846154,233.461538461538,22.7692307692308
2010,"Arkansas",0.117647058823529,100,94.9411764705882
2010,"California",5.32075471698113,305.603773584906,105.943396226415
2010,"Colorado",0.28125,118.21875,21.1875
2010,"Connecticut",1.125,152.625,78.125
2010,"Country Of Mexico",3.66666666666667,478,0
2010,"Delaware",4,168,87.6666666666667
2010,"District Of Columbia",7,187,119
2010,"Florida",0.162162162162162,112.162162162162,120.243243243243
2010,"Georgia",0.5,131.5625,176.40625
2010,"Hawaii",1,128,326.333333333333
2010,"Idaho",0.176470588235294,98.2352941176471,180.176470588235
2010,"Illinois",0.12,110.6,87
2010,"Indiana",0.0526315789473684,112.921052631579,119.105263157895
2010,"Iowa",0.15,107.5,140.05
2010,"Kansas",0,103,45.7857142857143
2010,"Kentucky",0.125,116.40625,85.6875
2010,"Louisiana",0.347826086956522,127.173913043478,116.391304347826
2010,"Maine",0.583333333333333,125.5,68.75
2010,"Maryland",2.75,173.4375,87.1875
2010,"Massachusetts",0.583333333333333,145.083333333333,131.5
2010,"Michigan",0.107142857142857,119.464285714286,59.8928571428571
2010,"Minnesota",0,106.571428571429,160.52380952381
2010,"Mississippi",0,114.076923076923,163.153846153846
2010,"Missouri",0.285714285714286,126.238095238095,104.571428571429
2010,"Montana",0.526315789473684,100.210526315789,191.684210526316
2010,"Nebraska",0.0909090909090909,101.181818181818,84.6363636363636
2010,"Nevada",0,98.6,12.5
2010,"New Hampshire",0.142857142857143,124,59
2010,"New Jersey",2.25,161.8125,90
2010,"New Mexico",0.166666666666667,140.277777777778,71.6666666666667
2010,"New York",0.441176470588235,130.411764705882,83.5294117647059
2010,"North Carolina",0.244444444444444,120.311111111111,129.244444444444
2010,"North Dakota",0,87.6666666666667,60.7777777777778
2010,"Ohio",0.425,134.15,122.75
2010,"Oklahoma",0.0416666666666667,108.791666666667,92.9166666666667
2010,"Oregon",0.125,108.333333333333,302.541666666667
2010,"Pennsylvania",1.27777777777778,150.583333333333,135.722222222222
2010,"Puerto Rico",0,75.625,11.125
2010,"Rhode Island",0.666666666666667,143.333333333333,111.666666666667
2010,"South Carolina",0,110.95,66.05
2010,"South Dakota",0.111111111111111,105.666666666667,91.3333333333333
2010,"Tennessee",0.0833333333333333,114.625,44.3333333333333
2010,"Texas",0.711111111111111,119.311111111111,136.088888888889
2010,"Utah",2.84615384615385,167.384615384615,94.6923076923077
2010,"Vermont",0.333333333333333,123,168.333333333333
2010,"Virgin Islands",0,94.5,66
2010,"Virginia",0.641025641025641,113.717948717949,57.4615384615385
2010,"Washington",0.1,86.7666666666667,301.733333333333
2010,"West Virginia",0.133333333333333,122.266666666667,95
2010,"Wisconsin",0.363636363636364,115.575757575758,49.6666666666667
2010,"Wyoming",0,89.0555555555556,33.0555555555556
2011,"Alabama",0.368421052631579,111.526315789474,85.0526315789474
2011,"Alaska",0.625,98.25,176.25
2011,"Arizona",2.07692307692308,312.769230769231,27.8461538461538
2011,"Arkansas",0.117647058823529,98.2352941176471,90.4705882352941
2011,"California",7.01851851851852,471.037037037037,129.259259259259
2011,"Colorado",0.40625,129.625,17.6875
2011,"Connecticut",2.5,164,58.75
2011,"Country Of Mexico",6,371.5,0
2011,"Delaware",2.33333333333333,177,93.3333333333333
2011,"District Of Columbia",3,166,225
2011,"Florida",0.184210526315789,116.578947368421,109.736842105263
2011,"Georgia",0.4375,128.625,172.875
2011,"Hawaii",0,75.75,282.25
2011,"Idaho",0.375,93.125,193.0625
2011,"Illinois",0.739130434782609,134.565217391304,70.7391304347826
2011,"Indiana",0.378378378378378,127.702702702703,121.945945945946
2011,"Iowa",0,94.85,163.45
2011,"Kansas",0.0714285714285714,120.071428571429,46.2142857142857
2011,"Kentucky",0.433333333333333,124.733333333333,94.2
2011,"Louisiana",0.772727272727273,137.409090909091,123.681818181818
2011,"Maine",0.25,104.333333333333,58.3333333333333
2011,"Maryland",2.93333333333333,166.133333333333,114.866666666667
2011,"Massachusetts",0.583333333333333,142.083333333333,144.416666666667
2011,"Michigan",0.785714285714286,140.75,64.8571428571429
2011,"Minnesota",0.0476190476190476,100.761904761905,154.714285714286
2011,"Mississippi",0,107.153846153846,161.230769230769
2011,"Missouri",0.80952380952381,137.095238095238,96.0952380952381
2011,"Montana",0.5,95.8333333333333,182.944444444444
2011,"Nebraska",0,88.5454545454545,99.0909090909091
2011,"Nevada",0.2,110.4,16.9
2011,"New Hampshire",0.285714285714286,117.857142857143,79.5714285714286
2011,"New Jersey",1.875,158,124.25
2011,"New Mexico",0.333333333333333,175.611111111111,76.2777777777778
2011,"New York",0.558823529411765,130.676470588235,94.6176470588235
2011,"North Carolina",0.333333333333333,120,128.222222222222
2011,"North Dakota",0,97.25,83.25
2011,"Ohio",0.666666666666667,134.820512820513,134.692307692308
2011,"Oklahoma",0.956521739130435,146.04347826087,64.8695652173913
2011,"Oregon",0.44,117.4,275.2
2011,"Pennsylvania",0.648648648648649,135.135135135135,147.783783783784
2011,"Puerto Rico",0,55.9166666666667,27.6666666666667
2011,"Rhode Island",0,140,99.3333333333333
2011,"South Carolina",0.2,119.7,89.45
